Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
Star Wars Theme/Cantina Band,Meco,1977,10,8,Meco,None,None
You Light Up My Life,Debby Boone,1977,10,15,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,10,22,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,10,29,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,11,5,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,11,12,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,11,19,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,11,26,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,12,3,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,12,10,Debby Boone,None,None
You Light Up My Life,Debby Boone,1977,12,17,Debby Boone,None,None
